trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,0,-64.02444961341266,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,7,9.281691795825068,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-21.259391920161285,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,0,-14.666230698710883,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",30,11,-2.5604083599125476,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,7,-77.52965006806096,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,11,29.40918359312706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",25,0,-74.46888885927781,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,0,-8.95977997057501,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",30,13,-6.293559024267273,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",30,0,-46.55289033612172,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",30,19,-3.7895165427099773,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,4,-13.408898866598799,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,0,-26.744505738533864,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,0,-51.487051445684095,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
